FID,Fuel_Type,Latitude,Longitude
421,ELEC,34.127236,-118.208626
422,ELEC,34.046641,-118.444387
423,ELEC,20.936498,-156.69214
424,ELEC,19.916449,-155.882129
425,ELEC,33.834668,-117.912228
426,ELEC,34.227896,-119.157509
427,E85,34.949852,-117.887785
428,ELEC,34.198642,-118.174611
429,ELEC,34.052962,-118.452852
430,ELEC,21.361176,-157.88878
431,E85,34.303372,-118.478818
432,ELEC,34.142253,-118.266137
433,ELEC,33.798112,-118.306856
434,ELEC,34.719623,-118.176905
435,ELEC,34.175022,-118.861008
436,ELEC,33.921425,-118.329996
437,ELEC,34.987187,-118.946236
438,ELEC,33.919245,-117.899168
439,ELEC,34.615453,-120.188559
440,ELEC,34.096895,-118.716235
441,ELEC,33.867235,-118.25465
442,ELEC,33.867235,-118.25465
443,ELEC,33.83052,-118.263296
444,ELEC,33.768691,-118.191434
445,ELEC,33.795752,-118.215574
446,ELEC,33.818333,-118.144669
447,ELEC,34.057434,-118.4176
448,ELEC,34.044081,-118.934668
449,ELEC,33.918157,-118.39585
450,ELEC,33.94466,-118.398227
451,ELEC,34.025555,-118.3808
452,CNG,34.026205,-118.469129
453,ELEC,34.075035,-118.39375
454,ELEC,34.049465,-118.262199
455,LPG,34.010826,-118.495865
456,ELEC,34.068287,-118.44413
457,ELEC,33.967664,-118.421686
458,ELEC,34.059978,-118.447678
459,ELEC,21.339708,-158.123871
460,ELEC,21.339756,-158.123871
461,ELEC,21.339775,-158.123856
462,E85,34.152675,-119.213117
463,ELEC,21.303779,-157.860047
464,E85,21.349336,-157.949789
465,ELEC,21.28565,-157.834
466,E85,21.481942,-158.049789
467,ELEC,21.307757,-157.857302
468,ELEC,21.309438,-157.857884
469,ELEC,34.05321,-118.081763
470,ELEC,21.3023,-157.861317
471,ELEC,34.046168,-118.081871
472,ELEC,21.277441,-157.830239
473,ELEC,21.273123,-157.822788
474,ELEC,34.053345,-118.08416
475,ELEC,34.702579,-118.125336
476,ELEC,34.698463,-118.130295
477,ELEC,34.660133,-118.241631
478,ELEC,34.681973,-118.073975
479,ELEC,34.69371,-118.188339
480,ELEC,34.573032,-117.935333
481,ELEC,34.050617,-118.259445
482,ELEC,34.052151,-118.254654
483,ELEC,34.051434,-118.256584
484,ELEC,33.748161,-118.002683
485,ELEC,34.049282,-118.25679
486,ELEC,20.915804,-156.695084
487,ELEC,34.592564,-118.17421
488,ELEC,34.442989,-119.781097
489,ELEC,34.563644,-118.006233
490,ELEC,34.573345,-118.088249
491,ELEC,34.923153,-120.427879
492,ELEC,34.39217,-118.468819
493,ELEC,34.02952,-118.485865
494,ELEC,34.184181,-118.3124
495,ELEC,34.182522,-118.307571
496,ELEC,34.420235,-119.600891
497,ELEC,34.182178,-118.308785
498,ELEC,33.842486,-118.354038
499,ELEC,34.122286,-119.110417
500,ELEC,34.181366,-118.31086
501,ELEC,35.120895,-120.621507
502,ELEC,34.181736,-118.310349
503,ELEC,34.155518,-118.3459
504,ELEC,34.101458,-118.321838
505,ELEC,21.333402,-157.914693
506,ELEC,34.124432,-117.932243
507,ELEC,21.279142,-157.831689
508,ELEC,34.642834,-120.4716
509,ELEC,21.477564,-158.02111
510,ELEC,34.138866,-118.020477
511,ELEC,21.277851,-157.825047
512,ELEC,34.03631,-118.149
513,ELEC,33.76757,-118.193337
514,ELEC,34.235233,-118.466179
515,ELEC,33.995018,-118.4763
516,ELEC,34.237602,-118.524445
517,ELEC,20.687945,-156.443305
518,ELEC,33.928974,-118.393784
519,ELEC,34.375645,-119.478386
520,ELEC,34.129345,-118.211014
521,LPG,34.152675,-119.213117
522,ELEC,34.035767,-118.686361
523,ELEC,33.91743,-117.889
524,ELEC,33.871418,-118.354698
525,ELEC,34.595219,-120.138016
526,ELEC,34.10196,-118.312
527,ELEC,34.595753,-120.143456
528,ELEC,34.05492,-118.412
529,ELEC,34.596313,-120.136482
530,ELEC,34.04914,-118.413
531,ELEC,34.276562,-119.292488
532,ELEC,34.08894,-118.378
533,HY,21.481786,-158.049742
534,ELEC,34.282619,-119.293984
535,HY,21.444929,-157.764333
536,CNG,33.86221,-117.994
537,CNG,34.010497,-118.291921
538,CNG,35.132317,-118.442542
539,ELEC,34.07017,-118.399
540,ELEC,34.07084,-118.403
541,ELEC,34.39605,-119.522
542,ELEC,33.87015,-117.938
543,ELEC,34.04837,-118.255
544,ELEC,34.40755,-119.693
545,ELEC,21.385004,-157.940315
546,ELEC,19.71445,-155.042
547,ELEC,19.700189,-155.081706
548,ELEC,21.291288,-157.842965
